continent;location;date;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
Africa;Algeria;2020/04/13;;;;;;;;;;;;;;;;;;;86,57;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/14;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/15;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/16;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/17;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/18;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/19;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/20;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/21;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/22;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/23;;;;;;;;;;;;;;;;;;;92,13;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/24;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/25;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/26;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/27;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/28;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/29;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/04/30;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/01;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/02;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/03;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/04;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/05;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/06;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/07;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/08;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/09;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/10;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/11;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/12;;;;;;;;;;;;;;;;;;;87,96;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/13;;;;;;;;;;;;;;;;;;;87,96;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/14;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/15;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/16;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/17;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/18;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/19;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/20;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/21;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/22;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/23;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/24;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/25;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/26;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/27;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/28;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/29;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/30;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/05/31;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/01;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/02;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/03;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/04;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/05;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/06;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/07;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/08;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/09;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/10;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/11;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/12;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/13;;;;;;;;;;;;;;;;;;;76,85;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/14;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/15;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/16;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/17;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/18;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/19;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/20;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/21;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/22;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/23;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/24;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/25;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
Africa;Algeria;2020/06/26;;;;;;;;;;;;;;;;;;;65,74;17,348;29,1;6,211;3,857;13913,839;0,5;278,364;6,73;0,7;30,4;83,741;1,9;76,88;0,748
